# 대체당 제로 음료 티어 — 데이터 전문 (2026-09-03 기준)

제품 616개. 출처: 식품의약품안전처 품목제조보고 원재료(C002) + 공공데이터포털 전국통합식품영양성분정보(15100066).
열량·당류는 100mL(또는 100g)당 값이며 한 병 전체 기준이 아닙니다.
정본: https://zero-drinks-tier.vercel.app/  /  산출 코드: https://github.com/gulf1324/zero-drinks-tier

| 티어 | 제품명 | 제조사 | 감미료 | 열량 | 당류 | 용량 |
| B | 헬씨올리고 팝 애플체리 | 오케이에프음료 주식회사 | 알룰로오스(S,2) / 스테비올배당체(A,13) / 수크랄로스(B,12) | 10 | 0.00 | 350ml |
| B | 홍도담 스파클링 | (주)삼양패키징광혜원공장 | 수크랄로스(B,1) / 아세설팜(B,2) | - | - | - |
| B | 환타 제로 상큼 피치 | 대경사과원예농협음료가공공장 외 2곳 | 아세설팜(B,7) / 수크랄로스(B,8) | 1 | 0.00 | 350ml |
| B | 환타 제로 오렌지 | 대경사과원예농협음료가공공장 외 2곳 | 효소처리스테비아(A,8) / 수크랄로스(B,6) / 아세설팜(B,7) | 0 | 0.00 | 355ml |
| B | 환타 제로 오렌지향 | 튤립인터내셔널(주) | 효소처리스테비아(A,8) / 수크랄로스(B,6) / 아세설팜(B,7) | - | - | - |
| B | 환타 제로 파인애플 | 코카콜라음료(주) 외 7곳 | 효소처리스테비아(A,11) / 감초추출물(A,11) / 수크랄로스(B,9) / 아세설팜(B,10) | 0 | 0.00 | 1000ml |
| B | 환타 제로 포도향 | 대경사과원예농협음료가공공장 외 6곳 | 아세설팜(B,9) / 수크랄로스(B,10) | 0 | 0.00 | 350ml |
| C | 815 FIZZ 오렌지 | (주)상일 | 스테비올배당체(A,1) / 수크랄로스(B,4) / 아세설팜(B,7) / 에리스리톨(C,14) | - | - | - |
| C | 815 FIZZ 포도 | (주)상일 | 스테비올배당체(A,12) / 아세설팜(B,4) / 수크랄로스(B,15) / 에리스리톨(C,10) | 0 | 0.00 | 250ml |
| C | HOT6 더킹러쉬 | 롯데칠성음료(주) | 스테비올배당체(A,14) / 수크랄로스(B,15) / 에리스리톨(C,16) | 4 | 0.00 | 355ml |
| C | HOT6 더킹제로 | 롯데칠성음료(주) | 수크랄로스(B,1) / 아세설팜(B,6) / 에리스리톨(C,2) | 3 | 0.00 | 355ml |
| C | HOT6 더킹포스 | 롯데칠성음료(주) | 스테비올배당체(A,2) / 수크랄로스(B,3) / 에리스리톨(C,4) | 5 | 0.28 | 355ml |
| C | HOT6더프로멀티비타민애플망고향 | 롯데칠성음료(주) | 아세설팜(B,19) / 수크랄로스(B,20) / 에리스리톨(C,21) | 13 | 1.13 | 355ml |
| C | HOT6더프로오리지널파인애플향 | 롯데칠성음료(주) | 아세설팜(B,9) / 수크랄로스(B,10) / 에리스리톨(C,11) | 15 | 0.00 | 355ml |
| C | So Cool 레몬맛 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,1) | 0 | 0.00 | 350ml |
| C | So Cool 복숭아맛 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,1) | 0 | 0.00 | 380ml |
| C | So Cool 파인애플맛 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,1) | 0 | 0.00 | 380ml |
| C | Sunkist 애사비 제로 스파클링 | 오케이에프음료 주식회사 | 아세설팜(B,9) / 수크랄로스(B,10) / 에리스리톨(C,7) | 2 | 0.00 | 500ml |
| C | TAMS ZERO 복숭아패션후르츠향 | 롯데칠성음료(주) | 알룰로오스(S,10) / 아세설팜(B,4) / 수크랄로스(B,5) / 에리스리톨(C,9) | 2 | 0.00 | 355ml |
| C | TAMS ZERO 청포도석류향 | 롯데칠성음료(주) | 알룰로오스(S,6) / 아세설팜(B,1) / 수크랄로스(B,2) / 에리스리톨(C,5) | 2 | 0.00 | 355ml |
| C | elvita 애플 사이다 비니거 | 건강한사람들 주식회사 2사업장 외 2곳 | 스테비올배당체(A,6) / 수크랄로스(B,7) / 에리스리톨(C,2) | 8 | 0.00 | 500ml |
| C | simplus 스파클링제로레몬 | 오케이에프음료 주식회사 | 수크랄로스(B,9) / 아세설팜(B,10) / 아스파탐(B,11) / 에리스리톨(C,2) | 1 | 0.00 | 500ml |
| C | simplus 스파클링제로복숭아 | 오케이에프음료 주식회사 | 수크랄로스(B,7) / 아세설팜(B,8) / 아스파탐(B,9) / 에리스리톨(C,5) | 1 | 0.00 | 500ml |
| C | simplus 스파클링제로수박 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아세설팜(B,3) / 아스파탐(B,4) / 에리스리톨(C,11) | 0 | 0.00 | 500ml |
| C | simplus 스파클링제로자두 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아세설팜(B,3) / 아스파탐(B,4) / 에리스리톨(C,10) | 1 | 0.00 | 500ml |
| C | simplus 제로사이다 | (주)일화초정공장 | 수크랄로스(B,5) / 아세설팜(B,6) / 에리스리톨(C,3) | 0 | 0.00 | 1500ml |
| C | simplus 제로콜라 | (주)일화초정공장 | 수크랄로스(B,3) / 아세설팜(B,5) / 에리스리톨(C,10) | 0 | 0.00 | 350ml |
| C | woongjin 애사비 파인애플 | 튤립인터내셔널(주) | 수크랄로스(B,1) / 아세설팜(B,2) / 에리스리톨(C,7) | 2 | 0.00 | 500ml |
| C | 경이로운 프로틴 (240ml) | (주)금강비앤에프 | 효소처리스테비아(A,8) / 수크랄로스(B,7) / 에리스리톨(C,1) | - | - | - |
| C | 고려은단 비타민C1000 스파클링 제로 | (주)상일 | 효소처리스테비아(A,11) / 아세설팜(B,10) / 수크랄로스(B,12) / 에리스리톨(C,2) | 4 | 0.00 | 250ml |
| C | 글루라이트 밀크 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,8) / 아세설팜(B,12) / 에리스리톨(C,6) | 6 | 0.00 | 500ml |
| C | 글루라이트 피치 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,9) / 수크랄로스(B,10) / 에리스리톨(C,17) | 6 | 0.00 | 500ml |
| C | 낫제로 레몬라임 | 농업회사법인(주)동의보굼 | 효소처리스테비아(A,12) / 자일리톨(C,3) | 16 | 1.11 | 350ml |
| C | 낫제로 수제콜라 | 농업회사법인(주)동의보굼 | 효소처리스테비아(A,4) / 자일리톨(C,7) | - | - | - |
| C | 낫제로 클래식포도 | 농업회사법인(주)동의보굼 | 효소처리스테비아(A,7) / 자일리톨(C,11) | 15 | 1.62 | 350ml |
| C | 내사랑 유자C 스파클링 | 튤립인터내셔널(주) | 아세설팜(B,10) / 수크랄로스(B,11) / 에리스리톨(C,3) | 1 | 0.00 | 350ml |
| C | 넛츠그린 제로스파클링 복숭아블랙티 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,2) / 에리스리톨(C,4) | 0 | 0.00 | 340ml |
| C | 넛츠그린 제로스파클링 애플블랙티 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,5) / 에리스리톨(C,3) | 0 | 0.00 | 340ml |
| C | 넛츠그린 제로스파클링 자몽블랙티 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,5) / 에리스리톨(C,3) | 0 | 0.00 | 340ml |
| C | 더 맥스 에너지 드링크 | 오케이에프음료 주식회사 | 수크랄로스(B,12) / 아세설팜(B,13) / 에리스리톨(C,2) | 3 | 0.00 | 355ml |
| C | 더 빅토리아 샴페인향소다 | (주)상일 외 1곳 | 스테비올배당체(A,11) / 아세설팜(B,9) / 수크랄로스(B,10) / 에리스리톨(C,2) | 0 | 0.00 | 500ml |
| C | 더 빅토리아 오리엔트소다 | (주)상일 외 1곳 | 스테비올배당체(A,1) / 아세설팜(B,6) / 수크랄로스(B,7) / 에리스리톨(C,16) / 벌꿀(SUGAR,5) | 1 | 0.00 | 500ml |
| C | 더 빅토리아 토마토바질소다 | 튤립인터내셔널(주) | 아세설팜(B,11) / 수크랄로스(B,12) / 에리스리톨(C,1) | 1 | 0.00 | 500ml |
| C | 더버프 프로틴 소다 레몬라임 (240ml) | (주)금강비앤에프 | 수크랄로스(B,10) / 아세설팜(B,11) / 에리스리톨(C,1) | - | - | - |
| C | 더버프 프로틴 소다 플레인 (240ml) | (주)금강비앤에프 | 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,16) | - | - | - |
| C | 데일리팝 포도맛 | 오케이에프음료 주식회사 | 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,2) | 1 | 0.00 | 355ml |
| C | 땡모반 수박 스파클링 | 오케이에프음료 주식회사 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,13) | 20 | 4.57 | 350ml |
| C | 라봉 클링 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,6) / 에리스리톨(C,2) | - | - | - |
| C | 라임슬라이스 소다 | (주)금강비앤에프 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,1) | 5 | 0.30 | 340ml |
| C | 레디큐 커큐민 스파클링 | (유)삼각에프엠씨 웰빙랜드 | 아세설팜(B,2) / 수크랄로스(B,3) / 에리스리톨(C,7) | - | - | - |
| C | 레몬비타 | 튤립인터내셔널(주) | 알룰로오스(S,15) / 수크랄로스(B,13) / 아세설팜(B,17) / 에리스리톨(C,16) | 10 | 0.50 | 120ml |
| C | 레몬슬라이스 소다 | (주)금강비앤에프 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,1) | 7 | 0.00 | 340ml |
| C | 레몬슬라이스 콜라 | (주)금강비앤에프 | 아세설팜(B,9) / 수크랄로스(B,10) / 에리스리톨(C,2) | 7 | 0.20 | 344.79g |
| C | 레몬에이드 | 건강한사람들 주식회사 2사업장 외 1곳 | 효소처리스테비아(A,9) / 수크랄로스(B,8) / 에리스리톨(C,2) | - | - | - |
| C | 리치 팝 소다 | (주)금강비앤에프 | 아세설팜(B,9) / 수크랄로스(B,10) / 에리스리톨(C,7) | 4 | 0.40 | 344.66g |
| C | 리치스파클링 | 오케이에프음료 주식회사 외 1곳 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,2) | 0 | 0.00 | 350ml |
| C | 링티제로 에너지 스파클링 레몬라임 | (주)삼양패키징광혜원공장 외 1곳 | 아세설팜(B,15) / 수크랄로스(B,16) / 에리스리톨(C,6) | 3 | 0.00 | 355ml |
| C | 링티제로 에너지 스파클링 피치 | (주)삼양패키징광혜원공장 외 1곳 | 수크랄로스(B,13) / 아세설팜(B,14) / 에리스리톨(C,7) | 3 | 0.00 | 355ml |
| C | 마시는 스파클링 콜앤비(트로피칼) | 주식회사 하이세븐 | 스테비올배당체(A,9) / 에리스리톨(C,2) | - | - | - |
| C | 마시는 스파클링 콜앤비(핑크 그레이프프룻) | 주식회사 하이세븐 | 스테비올배당체(A,9) / 에리스리톨(C,2) | - | - | - |
| C | 말표 마력 다크홀스 | (주)상일 외 1곳 | 아세설팜(B,4) / 수크랄로스(B,5) / 에리스리톨(C,18) | 11 | 0.00 | 250ml |
| C | 말표 마력 에베레스트 | (주)상일 외 1곳 | 수크랄로스(B,16) / 아세설팜(B,17) / 에리스리톨(C,2) | 6 | 0.00 | 250ml |
| C | 망고큐브 소다 | (주)금강비앤에프 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,1) | 7 | 0.70 | 344.66g |
| C | 몬스터 에너지 울트라 | 코카콜라음료(주) 외 1곳 | 수크랄로스(B,11) / 아세설팜(B,12) / 에리스리톨(C,5) | 0 | 0.00 | 355ml |
| C | 몬스터 에너지 울트라 스트로베리 드림즈 | 코카콜라음료(주) 외 1곳 | 수크랄로스(B,4) / 에리스리톨(C,12) | 4 | 0.00 | 355ml |
| C | 몬스터 에너지울트라 판타지 루비레드 | 해태에이치티비주식회사 | 수크랄로스(B,11) / 에리스리톨(C,12) | 5 | 0.00 | 355ml |
| C | 몬스터에너지 울트라 바이올렛 | 해태에이치티비주식회사 | 아세설팜(B,10) / 수크랄로스(B,12) / 에리스리톨(C,9) | 4 | 0.00 | 355ml |
| C | 몬스터에너지 울트라 시트라 | 해태에이치티비주식회사 | 수크랄로스(B,8) / 아세설팜(B,10) / 에리스리톨(C,12) | 3 | 0.00 | 355ml |
| C | 버퍼에너지 | 하이드로오아시스 제2공장 농업회사법인 | 수크랄로스(B,4) / 에리스리톨(C,14) | 18 | 0.00 | 355ml |
| C | 베리굿밤 나잇 클린에너지드링크 | (주)금강비앤에프 | 수크랄로스(B,9) / 아스파탐(B,10) / 에리스리톨(C,1) | - | - | - |
| C | 베리굿밤 데이 클린에너지드링크 | (주)금강비앤에프 | 수크랄로스(B,10) / 에리스리톨(C,1) | - | - | - |
| C | 베리클링 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,7) / 에리스리톨(C,3) | - | - | - |
| C | 복베리 에너지 드링크 오리지널 (Bokberry Energy Drink Original) | 세븐브로이맥주 주식회사 | 아세설팜(B,4) / 수크랄로스(B,15) / 에리스리톨(C,7) | 3 | 0.13 | 355g |
| C | 복베리 에너지 드링크 제로 (Bokberry  Energy Drink Zero) | 세븐브로이맥주 주식회사 | 수크랄로스(B,9) / 아세설팜(B,11) / 에리스리톨(C,2) | 3 | 0.13 | 355g |
| C | 브루잉콤부차 오리지널 | 롯데칠성음료(주) | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,5) | - | - | - |
| C | 브루잉콤부차히비스커스 | 롯데칠성음료(주) | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,5) | - | - | - |
| C | 브이톡 제로 복숭아티 에이드 | 오케이에프음료 주식회사 외 1곳 | 수크랄로스(B,3) / 아세설팜(B,4) / 에리스리톨(C,11) | - | - | - |
| C | 블랙보리 콜라 | (주)상일 | 효소처리스테비아(A,5) / 사카린(B,1) / 수크랄로스(B,3) / 아세설팜(B,10) / 에리스리톨(C,13) | 3 | 0.00 | 210ml |
| C | 뽀로로 멜론톡! | (주)삼양패키징광혜원공장 | 스테비올배당체(A,7) / 수크랄로스(B,6) / 에리스리톨(C,15) | 2 | 0.00 | 335ml |
| C | 뽀로로 밀크톡! | (주)삼양패키징광혜원공장 | 스테비올배당체(A,8) / 수크랄로스(B,7) / 에리스리톨(C,17) | 2 | 0.00 | 335ml |
| C | 사이다 제로 | (주)일화초정공장 | 아세설팜(B,6) / 수크랄로스(B,7) / 에리스리톨(C,9) | - | - | - |
| C | 삼대오백 바이퍼 버닝 옐로우 | 오케이에프음료 주식회사 | 아세설팜(B,19) / 수크랄로스(B,20) / 에리스리톨(C,4) | 5 | 0.00 | 355ml |
| C | 삼대오백 바이퍼 에너지 그린 | 오케이에프음료 주식회사 | 효소처리스테비아(A,12) / 수크랄로스(B,7) / 에리스리톨(C,17) | 11 | 0.00 | 355ml |
| C | 삼대오백 바이퍼 펌프 레드 | 오케이에프음료 주식회사 | 아세설팜(B,17) / 수크랄로스(B,18) / 에리스리톨(C,3) | 17 | 0.00 | 355ml |
| C | 샐러디랩 티키타카 캐모마일피치 | (주)삼양패키징광혜원공장 | 아세설팜(B,9) / 수크랄로스(B,10) / 에리스리톨(C,2) | - | - | - |
| C | 샤인머스캣스파클링 | 오케이에프음료 주식회사 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,2) | 0 | 0.00 | 350ml |
| C | 샤인클링 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,7) / 에리스리톨(C,3) | - | - | - |
| C | 세네 에너지 제로슈거 자몽 | (주)상일 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,3) | 2 | 0.00 | 250ml |
| C | 수박소다 zero | (유)삼각에프엠씨 웰빙랜드 | 아세설팜(B,7) / 수크랄로스(B,8) / 에리스리톨(C,2) | 0 | 0.00 | 350ml |
| C | 슈가로로 구름소다 제로 | 오케이에프음료 주식회사 | 효소처리스테비아(A,8) / 수크랄로스(B,11) / 아세설팜(B,12) / 에리스리톨(C,3) | 0 | 0.00 | 250ml |
| C | 슈가로로 메론소다 제로 | 오케이에프음료 주식회사 | 스테비올배당체(A,6) / 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,3) | 2 | 0.00 | 250ml |
| C | 슈가로로 스파클링 레몬사이다 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,9) / 수크랄로스(B,7) / 아세설팜(B,8) / 에리스리톨(C,2) | 0 | 0.00 | 350ml |
| C | 슈가로로 스파클링 복숭아 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,5) / 수크랄로스(B,9) / 아세설팜(B,10) / 에리스리톨(C,6) | 0 | 0.00 | 350ml |
| C | 슈가로로 스파클링 사과 | 오케이에프음료 주식회사 외 2곳 | 스테비올배당체(A,6) / 수크랄로스(B,9) / 아세설팜(B,10) / 에리스리톨(C,3) | 0 | 0.00 | 250ml |
| C | 슈가로로 스파클링 샤인머스캣 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,6) / 수크랄로스(B,4) / 아세설팜(B,5) / 에리스리톨(C,1) | 0 | 0.00 | 350ml |
| C | 슈가로로 애사비 스파클링 배 | 오케이에프음료 주식회사 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,2) | 0 | 0.00 | 350ml |
| C | 슈가로로 애사비 스파클링 사과 | 오케이에프음료 주식회사 | 아세설팜(B,5) / 수크랄로스(B,6) / 에리스리톨(C,3) | 2 | 0.00 | 350ml |
| C | 슈가로로 애사비 스파클링 자몽 | 오케이에프음료 주식회사 | 아세설팜(B,4) / 수크랄로스(B,5) / 에리스리톨(C,11) | - | - | - |
| C | 슈가로로 애사비 스파클링 콤부 레몬라임 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아세설팜(B,10) / 에리스리톨(C,9) | 0 | 0.00 | 350ml |
| C | 슈가로로 애사비 스파클링 파인애플 | 오케이에프음료 주식회사 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,2) | 1 | 0.00 | 350ml |
| C | 슈가로로 애사비 스파클링 플러스 자몽 | 오케이에프음료 주식회사 | 수크랄로스(B,11) / 아세설팜(B,12) / 에리스리톨(C,2) | - | - | - |
| C | 슈가로로 애사비 스파클링 플러스 파인애플 | 오케이에프음료 주식회사 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,3) | - | - | - |
| C | 슈가로로 클리어 콜라 | 건강한사람들 주식회사 2사업장 | 효소처리스테비아(A,6) / 수크랄로스(B,4) / 아세설팜(B,5) / 에리스리톨(C,1) | - | - | - |
| C | 슈퍼말차 클린 | (주)금강비앤에프 | 효소처리스테비아(A,7) / 에리스리톨(C,14) | - | - | - |
| C | 슈프리 스파클링 노니 | (주)금강비앤에프 | 수크랄로스(B,1) / 에리스리톨(C,4) | - | - | - |
| C | 슈프리 스파클링 레몬진저 | (주)금강비앤에프 | 수크랄로스(B,7) / 에리스리톨(C,8) | - | - | - |
| C | 슈프리아로니아탄산 | (주)금강비앤에프 | 수크랄로스(B,7) / 에리스리톨(C,3) | - | - | - |
| C | 스위트슬립 | 롯데칠성음료(주) | 수크랄로스(B,17) / 아세설팜(B,18) / 자일리톨(C,16) | - | - | - |
| C | 스파클링 그레이프 | (주)금강비앤에프 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,1) | 7 | 0.70 | 340ml |
| C | 스파클링 레몬보이 제로 | 오케이에프음료 주식회사 | 효소처리스테비아(A,2) / 아세설팜(B,3) / 수크랄로스(B,4) / 에리스리톨(C,6) | 0 | 0.00 | 245ml |
| C | 스파클링 제로슈가 골드페어 | 오케이에프음료 주식회사 | 아스파탐(B,9) / 아세설팜(B,10) / 수크랄로스(B,12) / 에리스리톨(C,3) | - | - | - |
| C | 스파클링 제로슈가 그린애플 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아세설팜(B,5) / 아스파탐(B,6) / 에리스리톨(C,8) | - | - | - |
| C | 스파클링 제로슈가 샤인머스켓 | 오케이에프음료 주식회사 | 수크랄로스(B,3) / 아세설팜(B,6) / 아스파탐(B,7) / 에리스리톨(C,12) | - | - | - |
| C | 스파클링 제로슈가 자두 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아세설팜(B,4) / 아스파탐(B,5) / 에리스리톨(C,9) | - | - | - |
| C | 스파클링 제로슈가 피치 | 오케이에프음료 주식회사 | 수크랄로스(B,2) / 아세설팜(B,4) / 아스파탐(B,5) / 에리스리톨(C,10) | - | - | - |
| C | 스파클링 피치 | (주)금강비앤에프 외 1곳 | 아세설팜(B,5) / 수크랄로스(B,6) / 에리스리톨(C,1) | 1 | 0.12 | 340ml |
| C | 스파클링제로 수박 | 오케이에프음료 주식회사 | 아세설팜(B,7) / 수크랄로스(B,9) / 에리스리톨(C,2) | - | - | - |
| C | 스파클링제로슈가 딸기 | 오케이에프음료 주식회사 | 아세설팜(B,1) / 아스파탐(B,2) / 수크랄로스(B,4) / 에리스리톨(C,10) | - | - | - |
| C | 스파클링제로슈가 레몬 | 오케이에프음료 주식회사 | 아세설팜(B,7) / 아스파탐(B,8) / 수크랄로스(B,10) / 에리스리톨(C,2) | - | - | - |
| C | 스파클링제로슈가 멜론 | 오케이에프음료 주식회사 | 아세설팜(B,7) / 아스파탐(B,8) / 수크랄로스(B,10) / 에리스리톨(C,2) | - | - | - |
| C | 스파클링제로슈가 수박 | 오케이에프음료 주식회사 | 아세설팜(B,7) / 아스파탐(B,8) / 수크랄로스(B,10) / 에리스리톨(C,2) | - | - | - |
| C | 스파클링제로슈가 포도 | 오케이에프음료 주식회사 | 아세설팜(B,7) / 아스파탐(B,8) / 수크랄로스(B,10) / 에리스리톨(C,2) | - | - | - |
| C | 스프라이트 제로 | 코카콜라음료주식회사 외 7곳 | 스테비올배당체(A,10) / 아세설팜(B,8) / 수크랄로스(B,9) / 에리스리톨(C,2) | 0 | 0.00 | 500ml |
| C | 시그너스 그린애플 사이다 | 건강한사람들 주식회사 2사업장 | 아세설팜(B,5) / 수크랄로스(B,6) / 에리스리톨(C,10) | 0 | 0.00 | 350ml |
| C | 시그너스 레드자몽 사이다 | 건강한사람들 주식회사 2사업장 | 수크랄로스(B,5) / 아세설팜(B,6) / 에리스리톨(C,1) | 0 | 0.00 | 350ml |
| C | 시그너스 애사비소다 오리지널 | 건강한사람들 주식회사 2사업장 | 스테비올배당체(A,4) / 아세설팜(B,5) / 수크랄로스(B,6) / 에리스리톨(C,11) | - | - | - |
| C | 시그너스 제로콜라 | 건강한사람들 주식회사 2사업장 | 효소처리스테비아(A,5) / 아세설팜(B,6) / 수크랄로스(B,7) / 에리스리톨(C,10) | - | - | - |
| C | 썬더 에너지드링크 | 동아에코팩 주식회사 | 아세설팜(B,11) / 수크랄로스(B,12) / 에리스리톨(C,5) | 4 | 0.00 | 355ml |
| C | 썬키스트 애사비 제로 스파클링 | 오케이에프음료 주식회사 | 수크랄로스(B,12) / 아세설팜(B,13) / 에리스리톨(C,2) | 1 | 0.00 | 350ml |
| C | 썬키스트 애사비 제로 스파클링 레몬 | 오케이에프음료 주식회사 | 아세설팜(B,1) / 수크랄로스(B,2) / 에리스리톨(C,11) | 2 | 0.00 | 500ml |
| C | 썬키스트 애사비 제로 스파클링 자몽 | 오케이에프음료 주식회사 | 아세설팜(B,1) / 수크랄로스(B,2) / 에리스리톨(C,11) | - | - | - |
| C | 씨너지 에너지 드링크 | 오케이에프음료 주식회사 | 아세설팜(B,2) / 수크랄로스(B,4) / 에리스리톨(C,15) | 4 | 0.00 | 250ml |
| C | 아르포텐 포스 | 오케이에프음료 주식회사 | 아세설팜(B,12) / 수크랄로스(B,14) / 에리스리톨(C,2) | 5 | 0.56 | 355ml |
| C | 아쿠아 데라 스파클링 | (주)금강비앤에프 | 효소처리스테비아(A,14) / 아세설팜(B,6) / 수크랄로스(B,15) / 에리스리톨(C,18) | 3 | 0.00 | 340ml |
| C | 아쿠아데라 스파클링 워터 | (주)스퀴즈맥주 순창공장 | 효소처리스테비아(A,9) / 아세설팜(B,7) / 수크랄로스(B,8) / 에리스리톨(C,5) | 0 | 0.00 | 500ml |
| C | 아톰파워업 제로 | 오케이에프음료 주식회사 | 효소처리스테비아(A,5) / 수크랄로스(B,6) / 에리스리톨(C,11) | - | - | - |
| C | 알파CD 스파클링 제로 | (주)삼양패키징광혜원공장 | 수크랄로스(B,3) / 아세설팜(B,4) / 에리스리톨(C,13) | - | - | - |
| C | 알파CD애사비복숭아제로 | (유)삼각에프엠씨 웰빙랜드 | 스테비올배당체(A,6) / 수크랄로스(B,7) / 에리스리톨(C,13) | - | - | - |
| C | 애플사이다비니거 | 오케이에프음료 주식회사 | 수크랄로스(B,1) / 아세설팜(B,3) / 에리스리톨(C,10) | 3 | 0.00 | 350ml |
| C | 야쿠르트 XO 스파클링 | (주)삼양패키징광혜원공장 | 수크랄로스(B,8) / 아세설팜(B,9) / 에리스리톨(C,14) | - | - | - |
| C | 얼비타 제로 | (유)삼각에프엠씨 웰빙랜드 | 아세설팜(B,6) / 수크랄로스(B,9) / 에리스리톨(C,1) | - | - | - |
| C | 에너제트 | (주)상일 | 수크랄로스(B,4) / 아세설팜(B,7) / 에리스리톨(C,16) | 3 | 0.00 | 250ml |
| C | 에너지드링크 | 오케이에프음료 주식회사 | 수크랄로스(B,11) / 에리스리톨(C,2) | 4 | 0.00 | 355ml |
| C | 에너지드링크 그린메론 | (유)삼각에프엠씨 웰빙랜드 | 수크랄로스(B,9) / 아세설팜(B,11) / 에리스리톨(C,18) | - | - | - |
| C | 에너지드링크 레드후르츠펀치 | (유)삼각에프엠씨 웰빙랜드 | 수크랄로스(B,16) / 아세설팜(B,18) / 에리스리톨(C,6) | - | - | - |
| C | 에너지드링크 패션후르츠 | 보해양조(주) 장성공장 | 수크랄로스(B,4) / 아세설팜(B,5) / 에리스리톨(C,3) | 7 | 0.00 | 500ml |
| C | 오렌지향 제로탄산 | 오케이에프음료 주식회사 | 아세설팜(B,1) / 수크랄로스(B,2) / 에리스리톨(C,7) | 7 | 0.00 | 500ml |
| C | 오미베리 오미자 스파클링 | (주)삼양패키징광혜원공장 | 아세설팜(B,11) / 수크랄로스(B,12) / 에리스리톨(C,2) | 0 | 0.00 | 340ml |
| C | 올라운드 액티비타 플랙스B 8000 | (유)삼각에프엠씨 웰빙랜드 외 1곳 | 아세설팜(B,10) / 수크랄로스(B,11) / 에리스리톨(C,14) | - | - | - |
| C | 올헬씨 버닝 스파클링 | (주)삼양패키징광혜원공장 | 수크랄로스(B,9) / 아세설팜(B,10) / 에리스리톨(C,18) | - | - | - |
| C | 와이낫 제로 스파클링 레몬 | (주)상일 | 효소처리스테비아(A,1) / 아세설팜(B,2) / 수크랄로스(B,3) / 에리스리톨(C,11) | - | - | - |
| C | 와이낫 제로 스파클링 애플 | (주)상일 | 효소처리스테비아(A,1) / 수크랄로스(B,3) / 에리스리톨(C,7) | - | - | - |
| C | 웅진 초록매실 스파클링 제로 | 대경사과원예농협음료가공공장 외 1곳 | 스테비올배당체(A,4) / 아세설팜(B,2) / 수크랄로스(B,3) / 에리스리톨(C,6) | 0 | 0.00 | 350ml |
| C | 원에이엠 스파클링 라임 | 오케이에프음료 주식회사 | 효소처리스테비아(A,7) / 수크랄로스(B,8) / 에리스리톨(C,2) | - | - | - |
| C | 원에이엠 스파클링 복숭아 | 오케이에프음료 주식회사 | 효소처리스테비아(A,7) / 수크랄로스(B,5) / 아세설팜(B,6) / 에리스리톨(C,2) | - | - | - |
| C | 원에이엠 스파클링 애플 | 오케이에프음료 주식회사 | 효소처리스테비아(A,8) / 수크랄로스(B,6) / 에리스리톨(C,2) | 0 | 0.00 | 355ml |
